Name,City,State,Zipcode,Gender,Age,Application Date
"Stephens, Joe",Sacramento,CA,95823,M,23,1/2/2015
"Frazier, Basil",Sacramento,CA,95823,M,34,1/5/2015
"Duran, Ignacio",Beaverton,OR,97005,M,26,1/5/2015
"Brock, Alvaro",Beaverton,OR,97005,M,24,1/6/2015
"Miller, Alec",Vancouver,WA,98662,M,35,1/8/2015
"Griffin, Maureen",Vancouver,WA,98662,F,31,1/9/2015
"Sykes, Guillermo",Sacramento,CA,95818,M,28,1/12/2015
"Warner, Solomon",Seattle,WA,98125,M,23,1/15/2015
"Petersen, Humberto",San Francisco,CA,94118,M,26,1/16/2015
"Griffith, Keven",Bend,OR,97701,M,32,1/20/2015
"Bruce, Amelia",Spokane,WA,99218,F,37,1/22/2015
"Simon, Joshua",Bend,OR,97701,M,24,1/27/2015
"Stephenson, Guadalupe",Portland,OR,97205,M,26,1/30/2015
"Fitzgerald, Roy",Sacramento,CA,95823,M,34,1/30/2015
"Sellers, Mauro",Sacramento,CA,95823,M,52,2/3/2015
"Forbes, Romeo",Ventura,CA,93003,M,36,2/4/2015
"Williams, Ronald",Vancouver,WA,98684,M,26,2/4/2015
"Kaufman, Al",Vancouver,WA,98662,M,32,2/6/2015
"Jimenez, Willard",Salem,OR,97301,M,26,2/9/2015
"Martin, Lynn",Sacramento,CA,95823,F,29,2/9/2015
"Harding, Noel",Beaverton,OR,97005,M,30,2/11/2015
"Flores, Mara",Portland,OR,97220,F,26,2/12/2015
"Robinson, Ronda",Vancouver,WA,98665,F,28,2/16/2015
"Case, Gaston",Issaquah,WA,98027,M,35,2/19/2015
"Welch, Alisa",Sacramento,CA,95823,F,47,2/25/2015
